Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
random_forest,comment,0.5,True,True,True,False,0.5728155339805825,0.5631067961165048,38.68195724487305
random_forest,comment,0.5,True,True,False,False,0.5776699029126213,0.5679611650485437,42.201679944992065
random_forest,comment,0.5,True,False,True,False,0.5922330097087378,0.5825242718446602,38.77690291404724
random_forest,comment,0.5,True,False,False,False,0.616504854368932,0.5970873786407767,39.163307905197144
random_forest,comment,0.5,False,True,True,False,0.5728155339805825,0.5970873786407767,39.57576084136963
random_forest,comment,0.5,False,True,False,False,0.5825242718446602,0.587378640776699,39.336057901382446
random_forest,comment,0.5,False,False,True,False,0.5242718446601942,0.5194174757281553,37.908406019210815
random_forest,comment,0.5,False,False,False,False,0.5776699029126213,0.5776699029126213,39.28964805603027
random_forest,comment,0.6,True,True,True,False,0.5970873786407767,0.6019417475728155,38.60606074333191
random_forest,comment,0.6,True,True,False,False,0.5776699029126213,0.5679611650485437,38.24922323226929
random_forest,comment,0.6,True,False,True,False,0.6213592233009708,0.6262135922330098,37.873708963394165
random_forest,comment,0.6,True,False,False,False,0.616504854368932,0.5970873786407767,38.97776007652283
random_forest,comment,0.6,False,True,True,False,0.4854368932038835,0.5242718446601942,38.171226978302
random_forest,comment,0.6,False,True,False,False,0.5825242718446602,0.587378640776699,40.13886523246765
random_forest,comment,0.6,False,False,True,False,0.587378640776699,0.5970873786407767,36.47398781776428
random_forest,comment,0.6,False,False,False,False,0.5776699029126213,0.5776699029126213,35.55205202102661
random_forest,comment,0.7,True,True,True,False,0.5631067961165048,0.587378640776699,35.10485291481018
random_forest,comment,0.7,True,True,False,False,0.5776699029126213,0.5679611650485437,35.05279302597046
random_forest,comment,0.7,True,False,True,False,0.5679611650485437,0.5631067961165048,35.711997985839844
random_forest,comment,0.7,True,False,False,False,0.616504854368932,0.5970873786407767,35.89782404899597
random_forest,comment,0.7,False,True,True,False,0.5194174757281553,0.529126213592233,35.604921102523804
random_forest,comment,0.7,False,True,False,False,0.5825242718446602,0.587378640776699,36.0809531211853
random_forest,comment,0.7,False,False,True,False,0.558252427184466,0.5825242718446602,36.03393578529358
random_forest,comment,0.7,False,False,False,False,0.5776699029126213,0.5776699029126213,36.262062788009644
random_forest,comment,0.8,True,True,True,False,0.5485436893203883,0.5388349514563107,35.632558822631836
random_forest,comment,0.8,True,True,False,False,0.5776699029126213,0.5679611650485437,35.82002902030945
random_forest,comment,0.8,True,False,True,False,0.5388349514563107,0.529126213592233,36.391406774520874
random_forest,comment,0.8,True,False,False,False,0.616504854368932,0.5970873786407767,36.17803597450256
random_forest,comment,0.8,False,True,True,False,0.5388349514563107,0.5485436893203883,35.63453817367554
random_forest,comment,0.8,False,True,False,False,0.5825242718446602,0.587378640776699,37.307647943496704
random_forest,comment,0.8,False,False,True,False,0.5485436893203883,0.558252427184466,34.070234060287476
random_forest,comment,0.8,False,False,False,False,0.5776699029126213,0.5776699029126213,34.79078984260559
random_forest,lemmatized_comment,0.5,True,True,True,False,0.6116504854368932,0.6359223300970874,32.94269108772278
random_forest,lemmatized_comment,0.5,True,True,False,False,0.5825242718446602,0.5679611650485437,32.690083026885986
random_forest,lemmatized_comment,0.5,True,False,True,False,0.5825242718446602,0.5776699029126213,33.43578815460205
random_forest,lemmatized_comment,0.5,True,False,False,False,0.6067961165048543,0.5825242718446602,32.85134315490723
random_forest,lemmatized_comment,0.5,False,True,True,False,0.49514563106796117,0.5,32.811760902404785
random_forest,lemmatized_comment,0.5,False,True,False,False,0.558252427184466,0.5436893203883495,34.32184600830078
random_forest,lemmatized_comment,0.5,False,False,True,False,0.5485436893203883,0.558252427184466,32.68906092643738
random_forest,lemmatized_comment,0.5,False,False,False,False,0.5679611650485437,0.558252427184466,33.02967977523804
random_forest,lemmatized_comment,0.6,True,True,True,False,0.529126213592233,0.529126213592233,33.09111309051514
random_forest,lemmatized_comment,0.6,True,True,False,False,0.5825242718446602,0.5679611650485437,32.636558055877686
random_forest,lemmatized_comment,0.6,True,False,True,False,0.5436893203883495,0.5631067961165048,33.45120620727539
random_forest,lemmatized_comment,0.6,True,False,False,False,0.6067961165048543,0.5825242718446602,33.80220413208008
random_forest,lemmatized_comment,0.6,False,True,True,False,0.5436893203883495,0.5728155339805825,33.00797700881958
random_forest,lemmatized_comment,0.6,False,True,False,False,0.558252427184466,0.5436893203883495,33.36237597465515
random_forest,lemmatized_comment,0.6,False,False,True,False,0.5145631067961165,0.5,33.15619993209839
random_forest,lemmatized_comment,0.6,False,False,False,False,0.5679611650485437,0.558252427184466,33.51638603210449
random_forest,lemmatized_comment,0.7,True,True,True,False,0.5776699029126213,0.6019417475728155,34.26551175117493
random_forest,lemmatized_comment,0.7,True,True,False,False,0.5825242718446602,0.5679611650485437,33.096293926239014
random_forest,lemmatized_comment,0.7,True,False,True,False,0.6213592233009708,0.6359223300970874,34.06292200088501
random_forest,lemmatized_comment,0.7,True,False,False,False,0.6067961165048543,0.5825242718446602,32.7128529548645
random_forest,lemmatized_comment,0.7,False,True,True,False,0.5048543689320388,0.5097087378640777,33.09236788749695
random_forest,lemmatized_comment,0.7,False,True,False,False,0.558252427184466,0.5436893203883495,33.233644008636475
random_forest,lemmatized_comment,0.7,False,False,True,False,0.5145631067961165,0.5097087378640777,34.128058195114136
random_forest,lemmatized_comment,0.7,False,False,False,False,0.5679611650485437,0.558252427184466,32.866710901260376
