key,include_original,include_rating,include_sentiScore_pos,accuracy,f1_score
stopwords_removal_nltk,False,False,False,0.5217391304347826,0.506121379594381
stopwords_removal_nltk,False,False,True,0.532608695652174,0.5187638077316834
stopwords_removal_nltk,False,True,False,0.5434782608695652,0.5291466150627443
stopwords_removal_nltk,False,True,True,0.5507246376811594,0.5397487926812626
stopwords_removal_nltk,True,False,False,0.5144927536231884,0.49870709355474013
stopwords_removal_nltk,True,False,True,0.572463768115942,0.565679401951917
stopwords_removal_nltk,True,True,False,0.5688405797101449,0.5578037915229009
stopwords_removal_nltk,True,True,True,0.572463768115942,0.5586205606449306
stopwords_removal,False,False,False,0.5362318840579711,0.5225246334715696
stopwords_removal,False,False,True,0.5579710144927537,0.5503895166566555
stopwords_removal,False,True,False,0.5797101449275363,0.5686944693498867
stopwords_removal,False,True,True,0.5905797101449275,0.5837179006954462
stopwords_removal,True,False,False,0.5398550724637681,0.5289221021891243
stopwords_removal,True,False,True,0.5398550724637681,0.5252141948551765
stopwords_removal,True,True,False,0.5797101449275363,0.5688219141698144
stopwords_removal,True,True,True,0.572463768115942,0.564274485584234
stemmed,False,False,False,0.5688405797101449,0.5558866461582589
stemmed,False,False,True,0.5760869565217391,0.5628917633842424
stemmed,False,True,False,0.5869565217391305,0.5730991107670504
stemmed,False,True,True,0.5543478260869565,0.5316219024980924
stemmed,True,False,False,0.5615942028985508,0.552296804655967
stemmed,True,False,True,0.5579710144927537,0.549938758873503
stemmed,True,True,False,0.5398550724637681,0.5272096762936224
stemmed,True,True,True,0.6014492753623188,0.5892858669349536
lemmatized_comment,False,False,False,0.5398550724637681,0.5177812351821313
lemmatized_comment,False,False,True,0.5688405797101449,0.5488763936923953
lemmatized_comment,False,True,False,0.5471014492753623,0.5273890303472032
lemmatized_comment,False,True,True,0.5579710144927537,0.5297762450309697
lemmatized_comment,True,False,False,0.532608695652174,0.5211272646619861
lemmatized_comment,True,False,True,0.5289855072463768,0.5139287347074076
lemmatized_comment,True,True,False,0.5543478260869565,0.5369910076626666
lemmatized_comment,True,True,True,0.5797101449275363,0.5700095853255869
stopwords_removal_lemmatization,False,False,False,0.5507246376811594,0.5425968467871007
stopwords_removal_lemmatization,False,False,True,0.5615942028985508,0.5512552063655162
stopwords_removal_lemmatization,False,True,False,0.5869565217391305,0.5791878485509775
stopwords_removal_lemmatization,False,True,True,0.5869565217391305,0.5766108594446814
stopwords_removal_lemmatization,True,False,False,0.5579710144927537,0.5462201397535722
stopwords_removal_lemmatization,True,False,True,0.5471014492753623,0.5343953020245287
stopwords_removal_lemmatization,True,True,False,0.5797101449275363,0.5673748902847949
stopwords_removal_lemmatization,True,True,True,0.5797101449275363,0.569511445419629
