Model Type,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
mlp,0.5,False,False,False,False,0.6310679611650486,0.6310679611650486,81.07973504066467
mlp,0.6,True,True,True,False,0.5339805825242718,0.558252427184466,93.47753620147705
mlp,0.6,True,True,False,False,0.6407766990291263,0.6456310679611651,80.15227603912354
mlp,0.6,True,False,True,False,0.5533980582524272,0.5679611650485437,73.38268113136292
mlp,0.6,True,False,False,False,0.6601941747572816,0.6650485436893204,70.39511394500732
mlp,0.6,False,True,True,False,0.5631067961165048,0.5728155339805825,71.7797122001648
mlp,0.6,False,True,False,False,0.6213592233009708,0.6310679611650486,69.12566709518433
mlp,0.6,False,False,True,False,0.5679611650485437,0.5728155339805825,63.82167315483093
mlp,0.6,False,False,False,False,0.6310679611650486,0.6359223300970874,66.7230498790741
mlp,0.7,True,True,True,False,0.5388349514563107,0.5436893203883495,95.19563579559326
mlp,0.7,True,True,False,False,0.6407766990291263,0.6456310679611651,80.95967888832092
mlp,0.7,True,False,True,False,0.5970873786407767,0.6359223300970874,86.78279423713684
mlp,0.7,True,False,False,False,0.6601941747572816,0.6747572815533981,72.15445709228516
mlp,0.7,False,True,True,False,0.5922330097087378,0.6019417475728155,70.34370994567871
mlp,0.7,False,True,False,False,0.6213592233009708,0.6359223300970874,63.11449193954468
mlp,0.7,False,False,True,False,0.5097087378640777,0.529126213592233,71.4518210887909
mlp,0.7,False,False,False,False,0.6310679611650486,0.6407766990291263,64.84083294868469
mlp,0.8,True,True,True,False,0.6310679611650486,0.6504854368932039,66.98632907867432
mlp,0.8,True,True,False,False,0.6407766990291263,0.6650485436893204,65.54698991775513
mlp,0.8,True,False,True,False,0.558252427184466,0.587378640776699,68.13718295097351
mlp,0.8,True,False,False,False,0.6601941747572816,0.6747572815533981,67.17718195915222
mlp,0.8,False,True,True,False,0.5194174757281553,0.5533980582524272,94.8685610294342
mlp,0.8,False,True,False,False,0.6213592233009708,0.6262135922330098,90.98763918876648
mlp,0.8,False,False,True,False,0.5728155339805825,0.5922330097087378,66.23850178718567
mlp,0.8,False,False,False,False,0.6310679611650486,0.6456310679611651,69.55634474754333
